"FISCAL_YEAR","AWARDS_CONFERRED","SEGMENT","INSTITUTION","AWARD_TYPE","AWARD_TYPE_ORDER","GENDER","RACE_ETHNICITY"
"2025","1","Community Colleges","Berkshire Community College","Certificate","1","Female","Asian or Pacific Islander"
"2025","4","Community Colleges","Berkshire Community College","Certificate","1","Female","Black or African American"
"2025","11","Community Colleges","Berkshire Community College","Certificate","1","Female","Hispanic or Latino"
"2025","1","Community Colleges","Berkshire Community College","Certificate","1","Female","Two or more races"
"2025","62","Community Colleges","Berkshire Community College","Certificate","1","Female","White"
"2025","2","Community Colleges","Berkshire Community College","Certificate","1","Male","Black or African American"
"2025","3","Community Colleges","Berkshire Community College","Certificate","1","Male","Hispanic or Latino"
"2025","2","Community Colleges","Berkshire Community College","Certificate","1","Male","Two or more races"
"2025","1","Community Colleges","Berkshire Community College","Certificate","1","Male","Unknown"
"2025","18","Community Colleges","Berkshire Community College","Certificate","1","Male","White"
"2025","1","Community Colleges","Berkshire Community College","Associate","2","Female","American Indian or Alaskan Native"
"2025","3","Community Colleges","Berkshire Community College","Associate","2","Female","Asian or Pacific Islander"
"2025","13","Community Colleges","Berkshire Community College","Associate","2","Female","Black or African American"
"2025","15","Community Colleges","Berkshire Community College","Associate","2","Female","Hispanic or Latino"
"2025","1","Community Colleges","Berkshire Community College","Associate","2","Female","Two or more races"
"2025","1","Community Colleges","Berkshire Community College","Associate","2","Female","U.S. Non-resident"
"2025","2","Community Colleges","Berkshire Community College","Associate","2","Female","Unknown"
"2025","103","Community Colleges","Berkshire Community College","Associate","2","Female","White"
"2025","5","Community Colleges","Berkshire Community College","Associate","2","Male","Black or African American"
"2025","9","Community Colleges","Berkshire Community College","Associate","2","Male","Hispanic or Latino"
"2025","3","Community Colleges","Berkshire Community College","Associate","2","Male","Two or more races"
"2025","27","Community Colleges","Berkshire Community College","Associate","2","Male","White"
"2025","2","Community Colleges","Bristol Community College","Certificate","1","Female","Asian or Pacific Islander"
"2025","18","Community Colleges","Bristol Community College","Certificate","1","Female","Black or African American"
"2025","6","Community Colleges","Bristol Community College","Certificate","1","Female","Hispanic or Latino"
"2025","2","Community Colleges","Bristol Community College","Certificate","1","Female","Two or more races"
"2025","2","Community Colleges","Bristol Community College","Certificate","1","Female","Unknown"
"2025","54","Community Colleges","Bristol Community College","Certificate","1","Female","White"
"2025","1","Community Colleges","Bristol Community College","Certificate","1","Male","Asian or Pacific Islander"
"2025","4","Community Colleges","Bristol Community College","Certificate","1","Male","Black or African American"
"2025","1","Community Colleges","Bristol Community College","Certificate","1","Male","Hispanic or Latino"
"2025","2","Community Colleges","Bristol Community College","Certificate","1","Male","Unknown"
"2025","9","Community Colleges","Bristol Community College","Certificate","1","Male","White"
"2025","1","Community Colleges","Bristol Community College","Certificate","1","Unknown","Unknown"
"2025","1","Community Colleges","Bristol Community College","Associate","2","Female","American Indian or Alaskan Native"
"2025","13","Community Colleges","Bristol Community College","Associate","2","Female","Asian or Pacific Islander"
"2025","74","Community Colleges","Bristol Community College","Associate","2","Female","Black or African American"
"2025","51","Community Colleges","Bristol Community College","Associate","2","Female","Hispanic or Latino"
"2025","16","Community Colleges","Bristol Community College","Associate","2","Female","Two or more races"
"2025","5","Community Colleges","Bristol Community College","Associate","2","Female","U.S. Non-resident"
"2025","3","Community Colleges","Bristol Community College","Associate","2","Female","Unknown"
"2025","366","Community Colleges","Bristol Community College","Associate","2","Female","White"
"2025","1","Community Colleges","Bristol Community College","Associate","2","Male","American Indian or Alaskan Native"
"2025","9","Community Colleges","Bristol Community College","Associate","2","Male","Asian or Pacific Islander"
"2025","28","Community Colleges","Bristol Community College","Associate","2","Male","Black or African American"
"2025","16","Community Colleges","Bristol Community College","Associate","2","Male","Hispanic or Latino"
"2025","9","Community Colleges","Bristol Community College","Associate","2","Male","Two or more races"
"2025","1","Community Colleges","Bristol Community College","Associate","2","Male","U.S. Non-resident"
"2025","4","Community Colleges","Bristol Community College","Associate","2","Male","Unknown"
"2025","195","Community Colleges","Bristol Community College","Associate","2","Male","White"
"2025","8","Community Colleges","Bunker Hill Community College","Certificate","1","Female","Asian or Pacific Islander"
"2025","25","Community Colleges","Bunker Hill Community College","Certificate","1","Female","Black or African American"
"2025","32","Community Colleges","Bunker Hill Community College","Certificate","1","Female","Hispanic or Latino"
"2025","5","Community Colleges","Bunker Hill Community College","Certificate","1","Female","Two or more races"
"2025","4","Community Colleges","Bunker Hill Community College","Certificate","1","Female","U.S. Non-resident"
"2025","6","Community Colleges","Bunker Hill Community College","Certificate","1","Female","Unknown"
"2025","15","Community Colleges","Bunker Hill Community College","Certificate","1","Female","White"
"2025","3","Community Colleges","Bunker Hill Community College","Certificate","1","Male","Asian or Pacific Islander"
"2025","7","Community Colleges","Bunker Hill Community College","Certificate","1","Male","Black or African American"
"2025","7","Community Colleges","Bunker Hill Community College","Certificate","1","Male","Hispanic or Latino"
"2025","1","Community Colleges","Bunker Hill Community College","Certificate","1","Male","Two or more races"
"2025","4","Community Colleges","Bunker Hill Community College","Certificate","1","Male","U.S. Non-resident"
"2025","5","Community Colleges","Bunker Hill Community College","Certificate","1","Male","Unknown"
"2025","12","Community Colleges","Bunker Hill Community College","Certificate","1","Male","White"
"2025","2","Community Colleges","Bunker Hill Community College","Associate","2","Female","American Indian or Alaskan Native"
"2025","73","Community Colleges","Bunker Hill Community College","Associate","2","Female","Asian or Pacific Islander"
"2025","126","Community Colleges","Bunker Hill Community College","Associate","2","Female","Black or African American"
"2025","170","Community Colleges","Bunker Hill Community College","Associate","2","Female","Hispanic or Latino"
"2025","30","Community Colleges","Bunker Hill Community College","Associate","2","Female","Two or more races"
"2025","73","Community Colleges","Bunker Hill Community College","Associate","2","Female","U.S. Non-resident"
"2025","39","Community Colleges","Bunker Hill Community College","Associate","2","Female","Unknown"
